item_id,brand,department,group_stocks,name_stocks,full_price,discount_price,"""size""",quantity,size_range_type,"""style""",gender_id,gender,season_id,season,barcode,sku,store_barcode
22693551,12 STOREEZ,,,round-neck cotton T-shirt ,255.0,255.0,M,3,12 Storeez Women Clothing Standard,123843,249,,83844203,SS24,2022693551209,123843,2112384300015.0
22693551,12 STOREEZ,,,round-neck cotton T-shirt ,255.0,255.0,L,3,12 Storeez Women Clothing Standard,123843,249,,83844203,SS24,2022693551216,123843,2112384300008.0
22693570,12 STOREEZ,,,checked long-sleeve shirt,835.0,835.0,M,3,12 Storeez Women Clothing Standard,123863,249,,83844203,SS24,2022693570200,123863,2112386300013.0
22692968,12 STOREEZ,,,merino-blend polo jumper,945.0,945.0,S,3,12 Storeez Women Clothing Standard,123926,249,,83844203,SS24,2022692968190,123926,2112392600022.0
22849342,12 STOREEZ,,,Blazer,1539.0,1539.0,XS,3,12 Storeez Women Clothing Standard,124307,249,,83844203,SS24,2022849342187,124307,2112430700042.0
22849342,12 STOREEZ,,,Blazer,1539.0,1539.0,S,3,12 Storeez Women Clothing Standard,124307,249,,83844203,SS24,2022849342194,124307,2112430700028.0
22849342,12 STOREEZ,,,Blazer,1539.0,1539.0,M,3,12 Storeez Women Clothing Standard,124307,249,,83844203,SS24,2022849342200,124307,2112430700011.0
22850155,12 STOREEZ,,,Blazer,1539.0,1539.0,XS,3,12 Storeez Women Clothing Standard,124308,249,,83844203,SS24,2022850155189,124308,2112430800049.0
22850155,12 STOREEZ,,,Blazer,1539.0,1539.0,S,3,12 Storeez Women Clothing Standard,124308,249,,83844203,SS24,2022850155196,124308,2112430800025.0
22850155,12 STOREEZ,,,Blazer,1539.0,1539.0,M,3,12 Storeez Women Clothing Standard,124308,249,,83844203,SS24,2022850155202,124308,2112430800018.0
22850153,12 STOREEZ,,,pressed-crease straight-leg trousers,1099.0,1099.0,XS,3,12 Storeez Women Clothing Standard,125573,249,,83844203,SS24,2022850153185,125573,2112557300040.0
22850153,12 STOREEZ,,,pressed-crease straight-leg trousers,1099.0,1099.0,S,3,12 Storeez Women Clothing Standard,125573,249,,83844203,SS24,2022850153192,125573,2112557300026.0
22850153,12 STOREEZ,,,pressed-crease straight-leg trousers,1099.0,1099.0,M,3,12 Storeez Women Clothing Standard,125573,249,,83844203,SS24,2022850153208,125573,2112557300019.0
22849339,12 STOREEZ,,,lightweight padded jacket,1429.0,1429.0,XS,3,12 Storeez Women Clothing Standard,123879,249,,83844203,SS24,2022849339187,123879,2112387900045.0
22849339,12 STOREEZ,,,lightweight padded jacket,1429.0,1429.0,S,3,12 Storeez Women Clothing Standard,123879,249,,83844203,SS24,2022849339194,123879,2112387900021.0
22849334,12 STOREEZ,,,wide-leg organic-cotton jeans,835.0,835.0,28/30,3,12 Storeez Women Jeans Width/Length (in),112385,249,,83844203,SS24,2022849334250,123851,2112385100072.0
22849334,12 STOREEZ,,,wide-leg organic-cotton jeans,835.0,835.0,28/32,3,12 Storeez Women Jeans Width/Length (in),112385,249,,83844203,SS24,2022849334267,123851,2112385100089.0
22849334,12 STOREEZ,,,wide-leg organic-cotton jeans,835.0,835.0,29/32,3,12 Storeez Women Jeans Width/Length (in),112385,249,,83844203,SS24,2022849334281,123851,2112385100102.0
22849334,12 STOREEZ,,,wide-leg organic-cotton jeans,835.0,835.0,31/32,3,12 Storeez Women Jeans Width/Length (in),112385,249,,83844203,SS24,2022849334328,123851,2112385100140.0
22848454,12 STOREEZ,,,lightweight padded jacket,1429.0,1429.0,L,3,12 Storeez Women Clothing Standard,123878,249,,83844203,SS24,2022848454218,123878,2112387800000.0
22849333,12 STOREEZ,,,pressed-crease straight-leg trousers,1099.0,1099.0,S,3,12 Storeez Women Clothing Standard,125574,249,,83844203,SS24,2022849333192,125574,2112557400023.0
22849333,12 STOREEZ,,,pressed-crease straight-leg trousers,1099.0,1099.0,M,3,12 Storeez Women Clothing Standard,125574,249,,83844203,SS24,2022849333208,125574,2112557400016.0
22850154,12 STOREEZ,,,organic-cotton boyfriend jeans,835.0,835.0,24/30,3,12 Storeez Women Jeans Width/Length (in),123870,249,,83844203,SS24,2022850154175,123870,2112387000004.0
22850154,12 STOREEZ,,,organic-cotton boyfriend jeans,835.0,835.0,25/32,3,12 Storeez Women Jeans Width/Length (in),123870,249,,83844203,SS24,2022850154205,123870,2112387000028.0
22850154,12 STOREEZ,,,organic-cotton boyfriend jeans,835.0,835.0,26/30,3,12 Storeez Women Jeans Width/Length (in),123870,249,,83844203,SS24,2022850154212,123870,2112387000035.0
22849340,12 STOREEZ,,,packable padded vest,1099.0,1099.0,S,3,12 Storeez Women Clothing Standard,123877,249,,83844203,SS24,2022849340190,123877,2112387700027.0
22849340,12 STOREEZ,,,packable padded vest,1099.0,1099.0,M,3,12 Storeez Women Clothing Standard,123877,249,,83844203,SS24,2022849340206,123877,2112387700010.0
23159079,12 STOREEZ,,,315 straight-leg jeans,835.0,835.0,26/30,3,12 Storeez Women Jeans Width/Length (in),123838,249,,83844203,SS24,2023159079213,123838,2112383800035.0
23158747,12 STOREEZ,,,632 boyfriend jeans,835.0,835.0,24/30,3,12 Storeez Women Jeans Width/Length (in),123839,249,,83844203,SS24,2023158747175,123839,2112383900001.0
